,Date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,building,month,DayOfWeek,hour,season,weekday,term_time,term_week,IsHoliday,Cluster,prob_1,prob_2,prob_3,prob_4,prob_5,building_code
7048,2017-02-08,63.11499881744385,63.67749881744385,61.17249870300293,60.58249855041504,59.80249881744385,83.09249782562256,90.65249824523926,128.63749504089355,128.52249717712402,133.18499565124512,137.60749435424805,142.26749420166016,154.22749710083008,154.46249389648438,150.7949981689453,139.67499542236328,124.4174976348877,115.9574966430664,75.50749778747559,59.94999885559082,68.52249908447266,69.69750022888184,66.14999961853027,64.79499816894531,Quinn_Business,2,2,0,1,1,1,1,1,4,0.0,0.0,0.0,0.0,1.0,1
7049,2023-03-20,6.267499804496765,5.552499890327454,4.9624998569488525,4.742499947547913,4.417500019073486,4.475000023841858,6.369999885559082,5.982499837875366,7.687499761581421,7.912499785423279,7.919999957084657,8.944999933242798,9.084999561309814,7.7399996519088745,7.512499809265137,7.514999866485596,7.972499847412109,8.987499952316284,10.089999914169312,9.457499980926514,10.562499523162842,9.119999647140503,8.342499852180481,7.647499918937684,Glenomenab9,3,0,0,2,1,1,1,1,3,0.0,0.0,0.0,1.0,0.0,2
7050,2023-08-27,19.60249948501587,19.614999771118164,24.859999656677246,25.367499828338623,21.677499771118164,26.392499446868896,23.182499408721924,20.5649995803833,20.089999198913574,33.15499973297119,33.237499713897705,30.41749906539917,20.01249933242798,20.054999828338623,20.207499504089355,32.30999946594238,29.509999752044678,26.22249937057495,25.292499542236328,33.647499561309814,34.17999982833862,20.789999961853027,19.562499523162842,19.687499523162842,Sutherland_Law,8,6,0,3,0,0,0,0,1,0.0,0.95,0.0,0.0,0.05,4
7051,2022-12-09,71.99999809265137,71.95749855041504,56.562499046325684,38.302499413490295,31.924999356269836,29.809999525547028,32.987499713897705,34.43749916553497,40.97249913215637,66.10843586921692,66.03140473365784,80.4398422241211,84.39109086990356,91.45148277282715,97.45554518699646,91.44413805007935,87.1574981212616,99.39249682426453,98.50499773025513,101.85749745368958,89.8224995136261,107.882497549057,107.63999843597412,90.54999852180481,Ashfield,12,4,0,1,1,1,1,1,1,0.0,1.0,0.0,0.0,0.0,5
7052,2017-08-19,64.53249835968018,64.50499725341797,64.26249980926514,64.11999797821045,64.08999729156494,68.71499633789062,70.80249786376953,78.6875,80.43999862670898,82.67749786376953,80.01499938964844,85.41749954223633,79.43749809265137,75.64749908447266,90.31249809265137,74.35249710083008,77.35249900817871,77.20499992370605,73.61000061035156,73.06749534606934,68.87249946594238,67.0824966430664,65.87499618530273,65.20249843597412,Engineering,8,5,0,3,0,0,0,0,4,0.0,0.0,0.001,0.0,0.999,6
7053,2022-02-17,8.117499709129333,6.542499780654907,5.634999752044678,5.364999890327454,5.019999861717224,4.952499747276306,5.892499804496765,6.732499837875366,8.06249988079071,8.88249945640564,9.417499780654907,8.46749997138977,8.967499613761902,7.947499871253967,10.09249997138977,9.812499761581421,9.28249979019165,10.437499761581421,13.322499752044678,13.927499532699585,13.12999963760376,11.542499780654907,12.694999694824219,8.767499804496765,Glenomenab9,2,3,0,1,1,1,1,1,3,0.0,0.0,0.0,1.0,0.0,2
7054,2017-01-04,21.969999313354492,21.462499618530273,21.682499408721924,21.51749897003174,21.88249921798706,21.742499351501465,31.834999561309814,36.374999046325684,50.812499046325684,53.53249931335449,56.03749942779541,51.29249858856201,48.32499980926514,42.79499912261963,45.44499969482422,43.86499881744385,42.76499843597412,37.26499938964844,36.26749897003174,35.64999961853027,28.557499408721924,28.937499523162842,21.50749921798706,21.427499294281006,Sutherland_Law,1,2,0,1,1,1,1,1,0,1.0,0.0,0.0,0.0,0.0,4
7055,2017-09-02,4.972499966621399,4.789999842643738,4.434999942779541,4.349999904632568,4.404999852180481,4.769999980926514,6.049999833106995,8.447499752044678,6.677499771118164,6.522499918937683,6.392499923706055,6.3074997663497925,6.762499809265137,6.442499876022339,6.449999690055847,6.022499918937683,6.6549999713897705,7.867499828338623,8.559999585151672,8.577499866485596,8.232500076293945,7.979999899864197,6.334999918937683,5.132499933242798,Glenomenab9,9,5,0,4,0,1,0,0,3,0.0,0.0,0.0,1.0,0.0,2
7056,2022-12-15,24.184999465942383,32.19749879837036,32.057499408721924,32.17499876022339,31.247499465942383,23.344999313354492,27.654999256134033,39.6324987411499,45.91749954223633,45.7524995803833,48.23999881744385,57.88749885559082,54.88249969482422,58.15999984741211,50.16749954223633,52.98999881744385,50.52499961853027,45.76749897003174,46.377498626708984,45.66749954223633,45.699997901916504,34.04249906539917,25.929999351501465,22.609999179840088,Sutherland_Law,12,3,0,1,1,1,1,1,4,0.0,0.001,0.0,0.0,0.999,4
7057,2022-08-25,3.1549999713897705,3.0774999260902405,3.122499942779541,2.934999942779541,2.8824999928474426,2.8899999260902405,2.96999990940094,3.912499964237213,3.2299999594688416,3.17249995470047,3.272499918937683,3.70499986410141,3.5274999141693115,3.5299999117851257,3.1799999475479126,3.197499930858612,3.3649999499320984,4.239999830722809,3.989999830722809,4.072499930858612,3.4574999809265137,3.7874999046325684,3.7824999690055847,3.819999933242798,Glenomenab10,8,3,0,3,1,0,0,0,3,0.0,0.0,0.0,1.0,0.0,3
